冷锋	吴京
老爹	弗兰克·格里罗
何建国	吴刚
卓亦凡	张翰
瑞秋	卢靖姗
舰长	丁海峰
龙小云	余男
钱必达	于谦
干儿子土豆	Nwachukwu Kennedy ..
Pasha	Diana Sylla
石青松	石兆琪
林志雄	淳于珊珊
Min Deng	倪大红
Wu Ji	肖竹
Li Zhijun	Qiang Ma
Hostage	Zibin Fang
38Shi	Sen Wang
Yu Fei	Tengyuan Liu
Shao Bing	Yongda Zhang
Ban Zhaun	Xiaolong Zhang
Chief of Staff	赵毅
Eagle	Zi Liang
Father of Feng	Guangping Guo
Mother of Feng	茹萍
Young Feng	Doudou
Male Officer	Zhang Heng
Female Officer	Miaomiao Tian
Female Officer	Yuanyuan Shan
Little Soldier	Mao San
Tomcat (as Scott Edward Adkins)	斯科特·阿特金斯
Mad Cow	凯文·李
Cowboy (as Christopher Conrad Collins)	Christopher Collins
Driver (as Joseph Eninganeyambe)	索纳·伊姆贝
Monkey (as Kyle Lawrence Shaprio)	凯尔·夏皮罗
Assassin	塞缪尔·西维尔奇
ICP A	Alberto Bossum
ICP B	Afshin
